,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,playlist_id,playlist_name,playlist_tracks,added_at,added_by,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
0,7xHATAMD7ezTZGYsNAMr5R,Bohemian Rhapsody - Live Aid,59,audio_features,False,False,147840,1,16,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-25T06:05:21Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.379,0.781,0,-6.147,0,0.0417,0.315,0.000162,0.401,0.327,77.567,spotify:track:7xHATAMD7ezTZGYsNAMr5R,https://api.spotify.com/v1/tracks/7xHATAMD7ezTZGYsNAMr5R,https://api.spotify.com/v1/audio-analysis/7xHATAMD7ezTZGYsNAMr5R,4
1,0YwBZKT8JE4U5TwmYE9BV9,Radio Ga Ga - Live Aid,66,audio_features,False,False,245680,1,17,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-25T06:05:27Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.406,0.934,5,-6.668,1,0.0845,0.0138,0.0,0.955,0.395,118.823,spotify:track:0YwBZKT8JE4U5TwmYE9BV9,https://api.spotify.com/v1/tracks/0YwBZKT8JE4U5TwmYE9BV9,https://api.spotify.com/v1/audio-analysis/0YwBZKT8JE4U5TwmYE9BV9,4
2,6Fl9MoM9BDk6vwbHqBBZeK,Ay-Oh - Live Aid,60,audio_features,False,False,41455,1,18,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-25T06:05:32Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.215,0.87,2,-10.92,1,0.351,0.881,0.112,0.976,0.462,144.877,spotify:track:6Fl9MoM9BDk6vwbHqBBZeK,https://api.spotify.com/v1/tracks/6Fl9MoM9BDk6vwbHqBBZeK,https://api.spotify.com/v1/audio-analysis/6Fl9MoM9BDk6vwbHqBBZeK,3
3,5ekobRVHvm435Eipr1StAg,Hammer To Fall - Live Aid,58,audio_features,False,False,243532,1,19,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-25T06:05:37Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.222,0.981,9,-5.846,1,0.0918,0.00515,0.000383,0.979,0.153,140.503,spotify:track:5ekobRVHvm435Eipr1StAg,https://api.spotify.com/v1/tracks/5ekobRVHvm435Eipr1StAg,https://api.spotify.com/v1/audio-analysis/5ekobRVHvm435Eipr1StAg,4
4,4XaG9IpCXklOcuau1sIrUX,We Are The Champions - Live Aid,63,audio_features,False,False,237026,1,20,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-25T06:05:42Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.316,0.86,7,-5.038,0,0.0661,0.175,4.92e-05,0.902,0.195,100.888,spotify:track:4XaG9IpCXklOcuau1sIrUX,https://api.spotify.com/v1/tracks/4XaG9IpCXklOcuau1sIrUX,https://api.spotify.com/v1/audio-analysis/4XaG9IpCXklOcuau1sIrUX,3
5,1F9NVicWfNQA5ki8WmEtk8,Crazy Little Thing Called Love,60,audio_features,False,False,163342,1,9,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-27T06:04:34Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.626,0.762,7,-6.846,1,0.0432,0.673,2.1e-06,0.325,0.766,76.793,spotify:track:1F9NVicWfNQA5ki8WmEtk8,https://api.spotify.com/v1/tracks/1F9NVicWfNQA5ki8WmEtk8,https://api.spotify.com/v1/audio-analysis/1F9NVicWfNQA5ki8WmEtk8,4
6,2k1yPYf9WGA4LiqcLVwtzn,Another One Bites The Dust,64,audio_features,False,False,214640,1,12,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-27T06:04:40Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.928,0.526,5,-6.486,0,0.161,0.0969,0.263,0.153,0.753,109.958,spotify:track:2k1yPYf9WGA4LiqcLVwtzn,https://api.spotify.com/v1/tracks/2k1yPYf9WGA4LiqcLVwtzn,https://api.spotify.com/v1/audio-analysis/2k1yPYf9WGA4LiqcLVwtzn,4
7,7iAqvWLgZzXvH38lA06QZg,I Want To Break Free,71,audio_features,False,False,223080,1,13,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-27T06:04:46Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.807,0.414,4,-8.903,1,0.0352,0.105,2.57e-05,0.0813,0.502,108.944,spotify:track:7iAqvWLgZzXvH38lA06QZg,https://api.spotify.com/v1/tracks/7iAqvWLgZzXvH38lA06QZg,https://api.spotify.com/v1/audio-analysis/7iAqvWLgZzXvH38lA06QZg,4
8,6suU8oBlW4O2pg88tOXgHo,Under Pressure,61,audio_features,False,False,244485,1,14,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-27T06:04:49Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.672,0.699,2,-7.831,1,0.0475,0.395,0.0,0.094,0.46,113.737,spotify:track:6suU8oBlW4O2pg88tOXgHo,https://api.spotify.com/v1/tracks/6suU8oBlW4O2pg88tOXgHo,https://api.spotify.com/v1/audio-analysis/6suU8oBlW4O2pg88tOXgHo,4
9,3INsYP1Y8GG4qJvBsKCdXC,Don't Stop Me Now - ...Revisited,69,audio_features,False,False,217824,1,21,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,3W37tgVI81dvQqkLmunn8R,Queen - Live Aid,11,2018-10-27T06:04:56Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/12129802622'}, 'href': 'https://api.spotify.com/v1/users/12129802622', 'id': '12129802622', 'type': 'user', 'uri': 'spotify:user:12129802622'}","['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.465,0.917,5,-6.331,1,0.237,0.0152,0.02,0.286,0.39,155.061,spotify:track:3INsYP1Y8GG4qJvBsKCdXC,https://api.spotify.com/v1/tracks/3INsYP1Y8GG4qJvBsKCdXC,https://api.spotify.com/v1/audio-analysis/3INsYP1Y8GG4qJvBsKCdXC,4
