,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,added_at,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
0,1AzNN19lPYC68iacrbWL8X,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",68,audio_features,False,False,332702,1,1,5t97rjifUl8d4HNwSzbCv9,Darbuka Siva,5t97rjifUl8d4HNwSzbCv9,Darbuka Siva,3hDQpJsEBtu5cIXUtC8ykc,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",2020-09-02,1,album,2022-03-19T13:44:18Z,['tamil pop'],['tamil pop'],0.556,0.521,6,-10.811,1,0.0321,0.632,0.000582,0.102,0.355,127.956,spotify:track:1AzNN19lPYC68iacrbWL8X,https://api.spotify.com/v1/tracks/1AzNN19lPYC68iacrbWL8X,https://api.spotify.com/v1/audio-analysis/1AzNN19lPYC68iacrbWL8X,4
1,7v9H4CsUcaoeXSCkhv0xHa,Parudeesa,56,audio_features,False,False,242998,1,1,5LcSNp7wOf6h5Lvhv23hF9,Sreenath Bhasi,1qFp8zDvsXyCsC5dqz8X4S,Sushin Shyam,6ouJQmuaymffyfNxWlQGZT,Bheeshma Parvam,2022-01-15,1,album,2022-03-19T13:19:43Z,['mollywood'],['mollywood'],0.689,0.724,5,-8.797,0,0.0727,0.432,0.0219,0.227,0.344,112.931,spotify:track:7v9H4CsUcaoeXSCkhv0xHa,https://api.spotify.com/v1/tracks/7v9H4CsUcaoeXSCkhv0xHa,https://api.spotify.com/v1/audio-analysis/7v9H4CsUcaoeXSCkhv0xHa,4
2,4vWcMkEsnEeolYB5kUmr9Q,Darshana,65,audio_features,False,False,225116,1,2,50iBEPSw6kQ8GQkumXz7XZ,Hesham Abdul Wahab,50iBEPSw6kQ8GQkumXz7XZ,Hesham Abdul Wahab,7q1tMo3gcpKtHK3a6V2kKM,Hridayam (Side A) [Original Motion Picture Soundtrack],2022-01-14,7,album,2022-03-19T13:07:13Z,['mollywood'],['mollywood'],0.665,0.632,7,-8.296,1,0.0491,0.231,0.0134,0.205,0.775,98.018,spotify:track:4vWcMkEsnEeolYB5kUmr9Q,https://api.spotify.com/v1/tracks/4vWcMkEsnEeolYB5kUmr9Q,https://api.spotify.com/v1/audio-analysis/4vWcMkEsnEeolYB5kUmr9Q,4
3,4yBdKIF7pD3yz3TajOUiDB,"Ambazham - From ""Ambazham""",33,audio_features,False,False,226546,1,1,2uocTdMBXjTsS7QmAj7src,Vineeth Sreenivasan,2uocTdMBXjTsS7QmAj7src,Vineeth Sreenivasan,3jfXdOBIEvAIB3mjIhpVgo,"Ambazham (From ""Ambazham"")",2015-07-07,1,album,2022-03-08T10:28:24Z,"['filmi', 'mollywood']","['filmi', 'mollywood']",0.523,0.579,0,-8.357,1,0.0581,0.385,1.14e-06,0.101,0.537,70.867,spotify:track:4yBdKIF7pD3yz3TajOUiDB,https://api.spotify.com/v1/tracks/4yBdKIF7pD3yz3TajOUiDB,https://api.spotify.com/v1/audio-analysis/4yBdKIF7pD3yz3TajOUiDB,4
4,4xiOtiXXochXwmw3MU946g,Alare,57,audio_features,False,False,261779,1,1,2BgRHhmwIQk468hVfrU7gE,Kailas,2BgRHhmwIQk468hVfrU7gE,Kailas,3r2555dO9qhGphE183VtFU,"Alare (From ""Member Rameshan 9aam Ward"")",2021-02-25,1,album,2022-03-08T10:24:50Z,['mollywood'],['mollywood'],0.353,0.397,3,-10.23,1,0.0386,0.841,0.000469,0.098,0.192,76.531,spotify:track:4xiOtiXXochXwmw3MU946g,https://api.spotify.com/v1/tracks/4xiOtiXXochXwmw3MU946g,https://api.spotify.com/v1/audio-analysis/4xiOtiXXochXwmw3MU946g,4
5,7GP9nzkpB0NSqCRwhXWx7D,Bas Kar Ji,52,audio_features,False,False,173446,1,6,50iBEPSw6kQ8GQkumXz7XZ,Hesham Abdul Wahab,50iBEPSw6kQ8GQkumXz7XZ,Hesham Abdul Wahab,6nuAnvIVNkw6pwqzuF2GJG,Hridayam (Side B) [Original Motion Picture Soundtrack],2022-01-17,8,album,2022-03-08T10:22:19Z,['mollywood'],['mollywood'],0.574,0.453,4,-8.7,1,0.026,0.713,0.0,0.157,0.552,99.959,spotify:track:7GP9nzkpB0NSqCRwhXWx7D,https://api.spotify.com/v1/tracks/7GP9nzkpB0NSqCRwhXWx7D,https://api.spotify.com/v1/audio-analysis/7GP9nzkpB0NSqCRwhXWx7D,4
6,18XlJEroUwFo0tLZxscgXE,Lost,76,audio_features,False,False,172598,1,2,04gDigrS5kc9YWfZHwBETP,Maroon 5,04gDigrS5kc9YWfZHwBETP,Maroon 5,2dnLi41uRXC7aNqDmcEc0P,JORDI (Deluxe),2021-06-11,14,album,2021-12-02T19:38:29Z,['pop'],['pop'],0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,spotify:track:18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/tracks/18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/audio-analysis/18XlJEroUwFo0tLZxscgXE,4
7,1ilQWV30hUZjBaupGUsaqK,Over And Over Again,66,audio_features,False,False,247107,1,11,2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,4vJKlj9rjpFliOTWgriL2R,Unfinished Business,2016-11-11,12,album,2021-12-02T19:34:09Z,"['post-teen pop', 'uk pop']","['post-teen pop', 'uk pop']",0.61,0.25,8,-9.618,1,0.033,0.952,0.0,0.0876,0.446,129.633,spotify:track:1ilQWV30hUZjBaupGUsaqK,https://api.spotify.com/v1/tracks/1ilQWV30hUZjBaupGUsaqK,https://api.spotify.com/v1/audio-analysis/1ilQWV30hUZjBaupGUsaqK,4
8,2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,80,audio_features,False,False,210200,1,9,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,3edjzMAVB9RYRd4UcZBchx,A Star Is Born Soundtrack (Without Dialogue),2018-10-05,19,album,2021-12-02T10:38:52Z,"['art pop', 'dance pop', 'pop']","['art pop', 'dance pop', 'pop']",0.553,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.296,129.976,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,https://api.spotify.com/v1/tracks/2rbDhOo9Fh61Bbu23T2qCk,https://api.spotify.com/v1/audio-analysis/2rbDhOo9Fh61Bbu23T2qCk,4
9,17zEns9wqJpnbWKVQcqVT7,"Poomuthole - From ""Joseph""",44,audio_features,False,False,290810,1,1,29sPAq2xKxzxPXG6NEEfdV,Niranj Suresh,29sPAq2xKxzxPXG6NEEfdV,Niranj Suresh,0pFWkQCgUQlOrkSz2G1BwA,"Poomuthole (From ""Joseph"")",2018-10-30,1,album,2021-10-13T08:09:06Z,"['malayalam pop', 'mollywood']","['malayalam pop', 'mollywood']",0.637,0.205,5,-12.758,0,0.0343,0.884,0.000341,0.0664,0.641,85.035,spotify:track:17zEns9wqJpnbWKVQcqVT7,https://api.spotify.com/v1/tracks/17zEns9wqJpnbWKVQcqVT7,https://api.spotify.com/v1/audio-analysis/17zEns9wqJpnbWKVQcqVT7,3
