,id,uri,type,name,genres,followers
0,1mYsTxnqsietFxj1OgoGbG,spotify:artist:1mYsTxnqsietFxj1OgoGbG,artist,A.R. Rahman,"['desi pop', 'filmi', 'modern bollywood']",21700250
1,2wPsNCwhEGb0KvChZ5DD52,spotify:artist:2wPsNCwhEGb0KvChZ5DD52,artist,K. J. Yesudas,"['filmi', 'mollywood']",2891727
2,1dfeR4HaWDbWqFHLkxsg1d,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,artist,Queen,"['classic rock', 'glam rock', 'rock']",42662936
3,3wjaprBWmoSJn4KP9tgkxt,spotify:artist:3wjaprBWmoSJn4KP9tgkxt,artist,M. G. Sreekumar,"['filmi', 'mollywood']",316778
4,2IUtwMti1OiT3lkW6RubgH,spotify:artist:2IUtwMti1OiT3lkW6RubgH,artist,K. S. Chithra,['filmi'],1775492
5,1SJOL9HJ08YOn92lFcYf8a,spotify:artist:1SJOL9HJ08YOn92lFcYf8a,artist,Shankar Mahadevan,"['desi pop', 'filmi', 'modern bollywood']",5221285
6,1wRPtKGflJrBx9BmLsSwlU,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,artist,Pritam,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",5213922
7,0L5GV6LN8SWWUWIdBbTLTZ,spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ,artist,Shankar-Ehsaan-Loy,"['desi pop', 'filmi', 'modern bollywood']",2599935
8,6Mv8GjQa7LKUGCAqa9qqdb,spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb,artist,Vishal-Shekhar,"['desi pop', 'filmi', 'modern bollywood']",2389180
9,50iBEPSw6kQ8GQkumXz7XZ,spotify:artist:50iBEPSw6kQ8GQkumXz7XZ,artist,Hesham Abdul Wahab,['mollywood'],32061
