,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
0,3igjvls6LMb3TncpfSxVda,Jab Saiyaan,53,audio_features,False,False,247785,1,1,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,2CHbEekNuuDav3srTCfGxY,Jab Saiyaan - Gangubai Kathiawadi,2022-02-15,1,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.622,0.591,5,-6.983,1,0.0612,0.682,0.0,0.213,0.582,77.963,spotify:track:3igjvls6LMb3TncpfSxVda,https://api.spotify.com/v1/tracks/3igjvls6LMb3TncpfSxVda,https://api.spotify.com/v1/audio-analysis/3igjvls6LMb3TncpfSxVda,4
1,6gHVMInOPMsA4ujf0nWHSt,Ishq Di Baajiyaan,52,audio_features,False,False,287134,1,1,0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,76PIQnieybHVXDpW7Cc64l,Soorma (Original Motion Picture Soundtrack),2018-07-03,5,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.722,0.609,7,-7.218,1,0.0473,0.0233,0.000247,0.113,0.807,154.967,spotify:track:6gHVMInOPMsA4ujf0nWHSt,https://api.spotify.com/v1/tracks/6gHVMInOPMsA4ujf0nWHSt,https://api.spotify.com/v1/audio-analysis/6gHVMInOPMsA4ujf0nWHSt,4
2,7lvDsmTRXFE3dK4OjvRiWB,Pasoori,85,audio_features,False,False,224147,1,1,3bWIy9AUrQdiNeS62Bp3OP,Shae Gill,3bWIy9AUrQdiNeS62Bp3OP,Shae Gill,7wgrW5XyZdtk0K8PkW5A7h,Pasoori,2022-02-06,1,album,[],[],0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,0.669,91.991,spotify:track:7lvDsmTRXFE3dK4OjvRiWB,https://api.spotify.com/v1/tracks/7lvDsmTRXFE3dK4OjvRiWB,https://api.spotify.com/v1/audio-analysis/7lvDsmTRXFE3dK4OjvRiWB,4
3,4X54tVzCd1BQkcMBNY4xOd,Mele Vellithinkal,31,audio_features,False,False,278760,1,3,0LSPREIgGMZXCuKVel7LVD,Karthik,5rjfY6hKjlZRId1W3Hatab,Mohan Sithara,5gw4sWxuMNhNPWNkH9cwgq,Thanmathra (Original Motion Picture Soundtrack),2005,6,album,"['filmi', 'tamil pop']",['mollywood'],0.714,0.495,2,-11.583,1,0.0291,0.208,0.0136,0.16,0.497,110.004,spotify:track:4X54tVzCd1BQkcMBNY4xOd,https://api.spotify.com/v1/tracks/4X54tVzCd1BQkcMBNY4xOd,https://api.spotify.com/v1/audio-analysis/4X54tVzCd1BQkcMBNY4xOd,1
4,7v9H4CsUcaoeXSCkhv0xHa,Parudeesa,56,audio_features,False,False,242998,1,1,5LcSNp7wOf6h5Lvhv23hF9,Sreenath Bhasi,1qFp8zDvsXyCsC5dqz8X4S,Sushin Shyam,6ouJQmuaymffyfNxWlQGZT,Bheeshma Parvam,2022-01-15,1,album,['mollywood'],['mollywood'],0.689,0.724,5,-8.797,0,0.0727,0.432,0.0219,0.227,0.344,112.931,spotify:track:7v9H4CsUcaoeXSCkhv0xHa,https://api.spotify.com/v1/tracks/7v9H4CsUcaoeXSCkhv0xHa,https://api.spotify.com/v1/audio-analysis/7v9H4CsUcaoeXSCkhv0xHa,4
5,4yX9qtsAcWgXPDpIRPCscJ,Manickyachirakulla,55,audio_features,False,False,249234,1,4,09Swfzp0iwV8Yxe1Ngzf6v,Bijibal,09Swfzp0iwV8Yxe1Ngzf6v,Bijibal,6cx9SsBKOIHCWubQrPwEpc,Idukki Gold,2013-10-03,4,album,"['filmi', 'mollywood']","['filmi', 'mollywood']",0.604,0.487,4,-9.213,1,0.033,0.453,0.0,0.318,0.436,109.952,spotify:track:4yX9qtsAcWgXPDpIRPCscJ,https://api.spotify.com/v1/tracks/4yX9qtsAcWgXPDpIRPCscJ,https://api.spotify.com/v1/audio-analysis/4yX9qtsAcWgXPDpIRPCscJ,1
6,1cPtMErymxlrj7pssAB03r,Lost Stars,55,audio_features,False,False,240187,1,5,2MG46ekjBSFwPgzoIZvHFU,Keira Knightley,0LyfQWJT6nXafLPZqxe9Of,Various Artists,2fKvStJ1UkXMkf5kzBp3DQ,Begin Again - Music From And Inspired By The Original Motion Picture,2014-07-01,16,album,['hollywood'],[],0.531,0.322,1,-8.824,1,0.0265,0.656,1.1e-06,0.112,0.309,81.986,spotify:track:1cPtMErymxlrj7pssAB03r,https://api.spotify.com/v1/tracks/1cPtMErymxlrj7pssAB03r,https://api.spotify.com/v1/audio-analysis/1cPtMErymxlrj7pssAB03r,4
7,2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",78,audio_features,False,False,230292,1,1,4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,2DKSZvMj7Da6rzNVPMgREj,"Raataan Lambiyan (From ""Shershaah"")",2021-07-30,1,album,"['desi pop', 'modern bollywood']","['desi pop', 'modern bollywood']",0.72,0.63,10,-5.549,1,0.0413,0.615,0.0,0.108,0.512,81.009,spotify:track:2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/tracks/2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/audio-analysis/2rOnSn2piaqLAlYjtfUBlY,4
8,3LWvtwgEIzC1wdHiUBoG1v,Breathless - Shankar Mahadevan,54,audio_features,False,False,177960,1,8,1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,2XyAPnAa62su8YqSP3eYON,Breathless,1998-12-31,8,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.719,0.888,11,-3.964,1,0.0539,0.651,0.0,0.115,0.54,99.915,spotify:track:3LWvtwgEIzC1wdHiUBoG1v,https://api.spotify.com/v1/tracks/3LWvtwgEIzC1wdHiUBoG1v,https://api.spotify.com/v1/audio-analysis/3LWvtwgEIzC1wdHiUBoG1v,4
9,5LX6K4ZFSfl9dk8tkUOCPq,Akasham Pole,57,audio_features,False,False,208948,1,1,1qFp8zDvsXyCsC5dqz8X4S,Sushin Shyam,1qFp8zDvsXyCsC5dqz8X4S,Sushin Shyam,7pDG3UeGzcxmolHDZv4DKh,Bheeshma Parvam,2022-02-16,1,album,['mollywood'],['mollywood'],0.306,0.331,9,-12.109,0,0.0814,0.866,0.000166,0.0979,0.267,170.331,spotify:track:5LX6K4ZFSfl9dk8tkUOCPq,https://api.spotify.com/v1/tracks/5LX6K4ZFSfl9dk8tkUOCPq,https://api.spotify.com/v1/audio-analysis/5LX6K4ZFSfl9dk8tkUOCPq,4
10,5O2P9iiztwhomNh8xkR9lJ,Night Changes,87,audio_features,False,False,226600,1,7,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),2014-11-17,16,album,"['boy band', 'pop', 'post-teen pop', 'talent show']","['boy band', 'pop', 'post-teen pop', 'talent show']",0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,4
11,70TwMCAbUrSQZ4cbC8bEby,Etho Rathri - Male Version,31,audio_features,False,False,249720,1,1,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,67ra8R8hw9NkDyBaJBS2j6,M. Jayachandran,792a26jl4ziXmdX46LWCXs,Bus Conductor (Original Motion Picture Soundtrack),2006-07-02,4,album,"['filmi', 'mollywood']","['filmi', 'mollywood']",0.629,0.462,9,-8.795,0,0.0261,0.0997,7.87e-06,0.226,0.549,102.982,spotify:track:70TwMCAbUrSQZ4cbC8bEby,https://api.spotify.com/v1/tracks/70TwMCAbUrSQZ4cbC8bEby,https://api.spotify.com/v1/audio-analysis/70TwMCAbUrSQZ4cbC8bEby,5
