endTime,artistName,trackName,msPlayed
2021-06-01 20:19,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),174440
2021-06-02 11:24,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),12711
2021-06-02 11:24,AURORA,Runaway,14768
2021-06-02 11:24,Gotye,Somebody That I Used To Know,2103
2021-06-02 11:26,AURORA,Runaway,148818
2021-06-02 11:30,Gotye,Somebody That I Used To Know,227485
2021-06-02 11:32,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),2208
2021-06-02 11:32,Ben Schuller,Once I Was 7 Years Old,131706
2021-06-02 11:36,JP Saxe,If the World Was Ending (feat. Julia Michaels),195955
2021-06-02 11:36,Florence + The Machine,Jenny of Oldstones (Game of Thrones),897
2021-06-02 11:36,Ed Sheeran,Galway Girl,824
2021-06-02 11:36,Benedict Cork,Choices,24968
2021-06-02 11:36,Benedict Cork,Choices,3691
2021-06-02 11:36,Jason Mraz,I'm Yours,23
2021-06-02 11:36,Jason Mraz,I'm Yours,1963
2021-06-02 11:38,Linkin Park,Numb,99543
2021-06-02 11:38,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1848
2021-06-02 11:38,Timbaland,Apologize - feat. One Republic,4760
2021-06-02 11:38,Clean Bandit,Symphony (feat. Zara Larsson),1781
2021-06-02 11:38,Green Day,Wake Me up When September Ends,2924
2021-06-02 11:39,Tanishk Bagchi,Makhna,22204
2021-06-02 11:39,Shawn Mendes,There's Nothing Holdin' Me Back,2067
2021-06-02 11:39,Coldplay,Fix You,2492
2021-06-02 11:39,AronChupa,I'm an Albatraoz,1445
2021-06-02 11:39,Avicii,The Nights,2442
2021-06-02 11:39,The National,The Rains Of Castomere,3513
2021-06-02 11:39,Kodaline,High Hopes,1361
2021-06-02 11:41,Nick Cave & The Bad Seeds,Red Right Hand (Peaky Blinders Theme) (Flood Remix) - Peaky Blinders Theme;Flood Remix,23
2021-06-02 11:41,Keira Knightley,Lost Stars,149722
2021-06-02 11:41,R. City,Locked Away (feat. Adam Levine),2328
2021-06-02 11:41,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),1803
2021-06-02 11:41,Rachel Platten,Fight Song,3415
2021-06-02 11:42,Lil Golden Shades,I'm Gonna Take My Horse to the Old Town Road,46440
2021-06-02 11:43,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,913
2021-06-02 11:43,Plain White T's,Hey There Delilah,1050
2021-06-02 11:43,Cigarettes After Sex,Apocalypse,44038
2021-06-02 11:43,Kodaline,All I Want,1436
2021-06-02 11:44,Ritviz,Udd Gaye,2203
2021-06-02 11:44,The Script,Hall of Fame (feat. will.i.am),1737
2021-06-02 11:44,Julia Michaels,Heaven,6518
2021-06-02 11:44,Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",1365
2021-06-02 11:44,Twenty One Pilots,Heathens,1044
2021-06-02 11:44,Enrique Iglesias,Hero,1120
2021-06-02 11:44,The Script,The Man Who Can't Be Moved,2138
2021-06-02 11:44,Green Day,Boulevard of Broken Dreams,1388
2021-06-02 11:44,Lorde,Royals,963
2021-06-02 11:44,Sam Smith,Too Good At Goodbyes,45530
2021-06-02 11:45,The Neighbourhood,Sweater Weather,59347
2021-06-02 11:45,Dj Rajni,I am a Lost Boy from Neverland,3324
2021-06-02 11:45,The Script,Superheroes,1397
2021-06-02 11:45,A Great Big World,Say Something,2277
2021-06-02 11:45,Maroon 5,Payphone,1237
2021-06-02 11:45,Michael Christopher,I Won't Give Up,1812
2021-06-02 11:45,WALK THE MOON,Shut Up and Dance,1690
2021-06-02 11:46,One Direction,Night Changes,1537
2021-06-02 11:46,James Newton Howard,The Hanging Tree,1287
2021-06-02 11:46,Michael Bublé,Feeling Good,4912
2021-06-02 11:46,Zac Efron,Rewrite The Stars,40018
2021-06-02 11:47,Avicii,Wake Me Up,1748
2021-06-02 11:47,Keira Knightley,A Step You Can’t Take Back,49319
2021-06-02 11:47,Backstreet Boys,Show Me the Meaning of Being Lonely,1825
2021-06-02 11:47,The Script,The Man Who Can't Be Moved,2273
2021-06-02 11:47,Twenty One Pilots,Stressed Out,6428
2021-06-02 11:47,The Rock Masters,Hotel California,3471
2021-06-02 11:47,Justin Timberlake,Mirrors,1838
2021-06-02 11:48,Hariharan,Hai Rama,20645
2021-06-02 11:48,Ben Schuller,Once I Was 7 Years Old,2604
