,names,popularity
0,Tennessee Whiskey,80
1,Vaarthinkal,44
2,Kadhal Azhivathilai,29
3,Hookah Bar,66
4,Kudajadryil,36
5,Priyanumathram,36
6,Love Is Gone - Acoustic,79
7,"Ghost Party - From ""Annabelle Rathore""",22
8,Firefly,51
9,Kai Kottu Penne,32
10,drivers license,89
11,Yaaro Yaaro,55
12,Palnilavinum,28
13,Ennamme Onnu Kaanaan,27
14,Everything I Need,62
15,Odu Odu Aadu,48
16,Imagination,75
17,You Let Me Walk Alone,56
18,"Chollamo - From ""Ole Kanda Naal""",24
19,Mehrubha - Version 1,36
20,Aaro Viral - Male Version,39
21,At My Worst,76
22,Nagada Nagada,54
23,Mounam Chorum Neram,49
24,Enthu Bhangi,21
25,For You,85
26,Ambalappuzhe,41
27,Pon Kasavu Njoriyum,23
28,"Psycho Saiyaan (From ""Saaho"")",63
29,Samjhawan,62
30,Koodamela Koodavechi,56
31,Kulirudha Pulla,48
32,Kudamulla Kammal,22
33,"Hey, Soul Sister",83
34,Tooh,49
35,Ponnushassennum,25
36,Apologize - feat. One Republic,0
37,Chanchala Druthapada,22
38,Dil Ibaadat,71
39,"Sunny Sunny (From ""Yaariyan"")",52
40,O Rangrez,57
41,Silsila Ye Chahat Ka - Devdas / Soundtrack Version,46
42,Dandelions,90
43,"Uyire - From ""Minnal Murali""",59
44,Swayamvarachandrike,42
45,"Desi Girl (From ""Dostana"")",49
46,Insane,76
47,Kanave Kalaiyathe,40
48,Kalabham Tharam (F),31
49,The Life of Ram,60
50,Valuthyoru,26
51,Nadodipoothinkal,40
52,Dwadasiyil Mani Deepika,38
53,Aakashadheepangal Sakshi - Male Vocals,27
54,Put Your Head On My Shoulder,69
55,Kinavile - Female Version,23
56,"Dhadak Dhadak Dhana (From ""Malsaram"")",3
57,Tattad Tattad,41
58,Cheerleader - Felix Jaehn Remix Radio Edit,79
59,Kunnimani Kannazhaki,24
60,There's Nothing Holdin' Me Back,86
61,Kunukkuppennu,23
62,Chingamasam,42
63,Ambalakara,30
64,Aararum - Male Version,44
65,En Kanimalare,49
66,Love The Way You Lie,82
67,En Veettu Thottathil,47
68,Ra ta ta ta ta,37
69,Oru Theera Novu - Mohan Kumar Fans,25
70,Sham,61
71,Nagumo Revival,55
72,Kilukil Pambaram,40
73,Jenny of Oldstones (Game of Thrones),57
74,Aarthunmkale,16
75,Muttahtethum,46
76,Kangal Irandal,59
77,Maayaadevakikku,26
78,Piriyadha Enna,51
79,Nagumo,61
80,Raara Venu,34
81,Her Majesty - Remastered 2009,22
82,Pyro,60
83,Muthu Mazha,44
84,Chandaamaama,24
85,Karimizhi,48
86,Swag Se Swagat,50
87,God Only Knows - Mono / 1997 Remastered,10
88,Etho Rathri - Male Version,30
89,Mirrors,79
90,"Parasparam Iniyonnum - From ""Mission C - Chasing Beyond Limits""",16
91,Runaway,79
92,"Meymasam (From ""Natturajavu"")",24
93,Meet Me At Our Spot,84
94,Pottukuthedi,44
95,Sharabi,50
96,Banke Tera Jogi,48
97,Inn Lamhon Ke Daaman Mein,55
98,Pranayasauganthikam,18
99,Lost Stars,64
100,Omanappuzha,31
101,London Thumakda,58
102,I Won't Give Up,69
103,Khoj (Passing By),54
104,"Shaitan Ka Saala (From ""Housefull 4"")",52
105,BeFoUr,57
106,Supermarket Flowers,75
107,Naane Varugiraen,51
108,Rojappoo Kavilathu,20
109,Mixed Signals,57
110,Should've Gone to Bed,40
111,Oru Kaathilola,49
112,Ye Ishq Hai,63
113,Sofia,80
114,Neelakkuyile Cholloo,26
115,"Deewana Hai Dekho (From ""Kabhi Khushi Kabhie Gham"")",45
116,Ey Sandakaara,53
117,"Say ""Shava Shava""",55
118,Unakkenna Venum Sollu,52
119,Buttercup,73
120,"Kan Pesum Varthaigal (From ""7/G Rainbow Colony"")",48
121,Nilaavinte Neelabhasma,36
122,Chiri Chiriyo,31
123,"La Vie En Rose - From ""How I Met Your Mother: Season 9""",53
124,Vinnile Ghandarva,33
125,Vaattalla Vaattiyilla,8
126,The Breakup Song,59
127,Rude,81
128,"Ada (From ""Garam Masala"")",39
129,"Muthe - From ""Amrutham""",26
130,STAY (with Justin Bieber),91
131,Vitalic Thrashers,0
132,Brown Munde,74
133,Khaabon Ke Parinday,62
134,"Chandhamama - From ""Rock N Roll""",16
135,Minnalkkodi,51
136,Pavanarachezhuthunnu,20
137,Kannil Kaasi,29
138,Manasse Manasse,58
139,Rewrite The Stars (with James Arthur & Anne-Marie),75
140,Oh Penne,64
141,Mamma Mia,77
142,Kuttanadan,42
