,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Stay With Me,0.558,0.526,0,-4.686,0,0.033,0.431,0.0,0.126,0.202,124.709,audio_features,1HYzRuWjmS9LXCkdVHi25K,spotify:track:1HYzRuWjmS9LXCkdVHi25K,https://api.spotify.com/v1/tracks/1HYzRuWjmS9LXCkdVHi25K,https://api.spotify.com/v1/audio-analysis/1HYzRuWjmS9LXCkdVHi25K,192441,4
1,Kudamullakkadavil,0.662,0.51,2,-7.876,1,0.0319,0.49,0.000188,0.0857,0.585,90.018,audio_features,5TPQTz6By2HEIsw0De4yGg,spotify:track:5TPQTz6By2HEIsw0De4yGg,https://api.spotify.com/v1/tracks/5TPQTz6By2HEIsw0De4yGg,https://api.spotify.com/v1/audio-analysis/5TPQTz6By2HEIsw0De4yGg,327947,4
2,Dancing When I Die,0.448,0.173,10,-12.406,1,0.0458,0.602,0.0,0.0987,0.282,108.107,audio_features,6epGSSmdGkjcBmLDKXLbMl,spotify:track:6epGSSmdGkjcBmLDKXLbMl,https://api.spotify.com/v1/tracks/6epGSSmdGkjcBmLDKXLbMl,https://api.spotify.com/v1/audio-analysis/6epGSSmdGkjcBmLDKXLbMl,162000,4
3,Mukile Mukile,0.563,0.561,4,-7.694,1,0.0277,0.184,0.0,0.105,0.239,104.985,audio_features,1Tr6gRnf4qTODbn4Ju6Hva,spotify:track:1Tr6gRnf4qTODbn4Ju6Hva,https://api.spotify.com/v1/tracks/1Tr6gRnf4qTODbn4Ju6Hva,https://api.spotify.com/v1/audio-analysis/1Tr6gRnf4qTODbn4Ju6Hva,315452,4
4,"Salangaigal - Tamil Version (From ""War"")",0.737,0.739,6,-5.624,0,0.0317,0.18,2.94e-05,0.248,0.76,117.983,audio_features,65Msk5IcEwrbyy7MliUYYj,spotify:track:65Msk5IcEwrbyy7MliUYYj,https://api.spotify.com/v1/tracks/65Msk5IcEwrbyy7MliUYYj,https://api.spotify.com/v1/audio-analysis/65Msk5IcEwrbyy7MliUYYj,303754,4
5,Therirangum Mukile,0.785,0.395,2,-11.622,0,0.0334,0.221,7.21e-05,0.133,0.583,107.968,audio_features,0YGJiYM41DEuEvT0xKtswO,spotify:track:0YGJiYM41DEuEvT0xKtswO,https://api.spotify.com/v1/tracks/0YGJiYM41DEuEvT0xKtswO,https://api.spotify.com/v1/audio-analysis/0YGJiYM41DEuEvT0xKtswO,230600,4
6,Karineelakkannazhaki,0.696,0.548,5,-9.876,0,0.0312,0.585,0.000648,0.0949,0.833,101.06,audio_features,0qAUR9rzsqvCTc96JjhyLg,spotify:track:0qAUR9rzsqvCTc96JjhyLg,https://api.spotify.com/v1/tracks/0qAUR9rzsqvCTc96JjhyLg,https://api.spotify.com/v1/audio-analysis/0qAUR9rzsqvCTc96JjhyLg,295280,4
7,Oru Murai Sujatha,0.512,0.284,5,-7.606,0,0.0263,0.551,0.0,0.367,0.385,80.016,audio_features,6OED7hCSHsLCk3bFVKFLAv,spotify:track:6OED7hCSHsLCk3bFVKFLAv,https://api.spotify.com/v1/tracks/6OED7hCSHsLCk3bFVKFLAv,https://api.spotify.com/v1/audio-analysis/6OED7hCSHsLCk3bFVKFLAv,102087,4
8,Choices,0.132,0.0028,11,-34.856,1,0.0559,0.975,0.57,0.0948,0.0351,69.283,audio_features,4rnHitehqGrHlgr8TiTMYX,spotify:track:4rnHitehqGrHlgr8TiTMYX,https://api.spotify.com/v1/tracks/4rnHitehqGrHlgr8TiTMYX,https://api.spotify.com/v1/audio-analysis/4rnHitehqGrHlgr8TiTMYX,161885,4
9,Thrift Shop (feat. Wanz),0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,audio_features,1CmUZGtH29Kx36C1Hleqlz,spotify:track:1CmUZGtH29Kx36C1Hleqlz,https://api.spotify.com/v1/tracks/1CmUZGtH29Kx36C1Hleqlz,https://api.spotify.com/v1/audio-analysis/1CmUZGtH29Kx36C1Hleqlz,235613,4
10,Pai Kurumbiye,0.484,0.683,0,-8.165,1,0.103,0.663,0.0,0.332,0.59,124.908,audio_features,5oPuUgT79wAJMVfsGuow6T,spotify:track:5oPuUgT79wAJMVfsGuow6T,https://api.spotify.com/v1/tracks/5oPuUgT79wAJMVfsGuow6T,https://api.spotify.com/v1/audio-analysis/5oPuUgT79wAJMVfsGuow6T,364133,4
11,Pichavecha Naal,0.574,0.433,7,-10.642,0,0.0443,0.748,0.000553,0.114,0.643,179.957,audio_features,7il8V81xtzqpPf4Kjhaudm,spotify:track:7il8V81xtzqpPf4Kjhaudm,https://api.spotify.com/v1/tracks/7il8V81xtzqpPf4Kjhaudm,https://api.spotify.com/v1/audio-analysis/7il8V81xtzqpPf4Kjhaudm,272040,3
12,Let Me Down Slowly,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354,4
13,Yaaro Yaaro,0.702,0.44,4,-10.756,0,0.0913,0.677,1.2e-06,0.0855,0.448,147.073,audio_features,1lqdPJz24AiFWeo3arwPXR,spotify:track:1lqdPJz24AiFWeo3arwPXR,https://api.spotify.com/v1/tracks/1lqdPJz24AiFWeo3arwPXR,https://api.spotify.com/v1/audio-analysis/1lqdPJz24AiFWeo3arwPXR,335787,4
14,Kakkothi,0.688,0.846,0,-5.837,1,0.145,0.404,0.0,0.1,0.956,180.069,audio_features,1DxCvkUh38bAtHeLTJsM9O,spotify:track:1DxCvkUh38bAtHeLTJsM9O,https://api.spotify.com/v1/tracks/1DxCvkUh38bAtHeLTJsM9O,https://api.spotify.com/v1/audio-analysis/1DxCvkUh38bAtHeLTJsM9O,282667,3
15,Kuhu Kuhu Bole Koyalia With Raga Brief - Film - Suvarna Sundari,0.58,0.455,7,-9.071,1,0.259,0.952,0.0881,0.166,0.754,106.918,audio_features,0N6MhQ0CPYP6GLlS2re8fO,spotify:track:0N6MhQ0CPYP6GLlS2re8fO,https://api.spotify.com/v1/tracks/0N6MhQ0CPYP6GLlS2re8fO,https://api.spotify.com/v1/audio-analysis/0N6MhQ0CPYP6GLlS2re8fO,504738,4
16,"Ithal - From ""Koora""",0.315,0.229,2,-11.307,0,0.0307,0.879,0.00277,0.173,0.198,99.267,audio_features,0EOfcoVg2nViGhHufJfYL7,spotify:track:0EOfcoVg2nViGhHufJfYL7,https://api.spotify.com/v1/tracks/0EOfcoVg2nViGhHufJfYL7,https://api.spotify.com/v1/audio-analysis/0EOfcoVg2nViGhHufJfYL7,317373,4
